boiler;18.7;18.8;18.9;18.1;18.11;18.12;18.13;18.14;18.5;18.3;17.6;19;19.1;19;19;19;19;19;19;19
date;01/10/2020;02/10/2020;03/10/2020;04/10/2020;05/10/2020;06/10/2020;07/10/2020;08/10/2020;09/10/2020;10/10/2020;11/10/2020;12/10/2020;13/10/2020;14/10/2020;15/10/2020;16/10/2020;17/10/2020;18/10/2020;19/10/2020;20/10/2020
exaustCyl1;;;330;330;330;350;;;;;;340;340;330;330;330;325;;;
exaustCyl2;;;0;0;0;0;;;;;;0;0;0;0;0;0;;;
exaustCyl3;;;390;390;390;405;;;;;;400;395;395;395;390;380;;;
exaustCyl4;;;385;395;395;410;;;;;;390;390;390;390;385;380;;;
exaustCyl5;;;360;370;365;370;;;;;;365;370;355;370;365;360;;;
freshWater;5047;5047;5062;5077;5091;5106;5106;5106;5106;5106;5106;5117;5129;5142;5154;5167;5179;5179;5179;5179
water;28280;28290;28301;28313;28324;28336;28346;28354;28363;28372;28381;28393;28402;28413;28423;28433;28444;28454;28463;28471
fuel;9950;9961;9984;007;030;056;067;069;071;073;074;089;114;138;161;185;209;223;226;229
serviceMGO;17;16.6;16.6;16.6;16.6;16;21.4;20;18.7;17.5;16.2;16.2;16.2;16.2;16.2;16.2;16.2;20.7;19.3;19
time;;;;;;;;;;;;;;;;;;;;
waterCyl1;;;75;75;74;76;;;;;;76;75;75;76;74;75;;;
waterCyl2;;;74;74;73;75;;;;;;75;74;74;75;73;74;;;
waterCyl3;;;75;75;74;76;;;;;;76;75;75;76;74;75;;;
waterCyl4;;;74;74;73;75;;;;;;75;74;74;74;73;74;;;
waterCyl5;;;74;73;73;75;;;;;;75;74;74;75;73;75;;;
